"x","y","H5_cont","H5_disc","simple"
520.5,253.5,1,1,2
784.5,153.5,1,1,2
32.5,547.5,3.8125,1,4.8125
940.5,109.5,2.5,1,3.5
710.5,261.5,1,1,2
132.5,790.5,1,1,2
552.5,712.5,3.8125,1,4.8125
836.5,316.5,1,1,2
225.5,758.5,1,1,2
300.5,757.5,1,1,2
351.5,72.5,2.875,1,3.875
465.5,162.5,1,1,2
877.5,374.5,1,1,2
810.5,486.5,1,1,2
453.5,815.5,1,1,2
725.5,352.5,1,1,2
420.5,794.5,1.5625,1,2.5625
898.5,373.5,1,1,2
692.5,48.5,1,1,2
281.5,778.5,1,1,2
137.5,35.5,1,1,2
288.5,980.5,1,1,2
451.5,986.5,1,1,2
674.5,122.5,1,1,2
753.5,372.5,1,1,2
439.5,834.5,1,1,2
793.5,534.5,1,1,2
649.5,545.5,1,1,2
474.5,118.5,1,1,2
390.5,725.5,1,1,2
624.5,199.5,1,1,2
314.5,967.5,1,1,2
640.5,292.5,1,1,2
384.5,3.5,3.625,1,4.625
221.5,808.5,1,1,2
663.5,539.5,1,1,2
447.5,834.5,1,1,2
718.5,570.5,1,1,2
429.5,59.5,1,1,2
588.5,20.5,1,1,2
107.5,458.5,1,1,2
758.5,454.5,1,1,2
961.5,553.5,1,1,2
634.5,297.5,1,1,2
440.5,849.5,1,1,2
480.5,161.5,2.6875,1,3.6875
605.5,314.5,1,1,2
412.5,938.5,1,1,2
670.5,77.5,1,1,2
254.5,748.5,2.3125,1,3.3125
374.5,107.5,1,1,2
416.5,934.5,1,1,2
754.5,104.5,1.375,1,2.375
586.5,392.5,1,1,2
770.5,884.5,1,1,2
337.5,146.5,1,1,2
655.5,33.5,1,1,2
900.5,277.5,1.1875,1,2.1875
663.5,953.5,1,1,2
523.5,492.5,1,1,2
849.5,598.5,1,1,2
939.5,103.5,3.0625,1,4.0625
1021.5,429.5,1,1,2
152.5,1.5,1,1,2
730.5,263.5,1,1,2
922.5,367.5,1,1,2
503.5,608.5,3.8125,1,4.8125
128.5,798.5,1,1,2
256.5,752.5,2.125,1,3.125
625.5,563.5,1,1,2
130.5,791.5,1,1,2
1003.5,372.5,1,1,2
189.5,279.5,3.4375,1,4.4375
367.5,588.5,1,1,2
561.5,992.5,1.375,1,2.375
360.5,849.5,1,1,2
428.5,340.5,1,1,2
704.5,808.5,1,1,2
909.5,478.5,3.8125,1,4.8125
761.5,683.5,1,1,2
337.5,149.5,1,1,2
15.5,1012.5,1,1,2
339.5,5.5,1,1,2
418.5,842.5,1.75,1,2.75
510.5,266.5,1,1,2
636.5,257.5,1,1,2
679.5,559.5,1,1,2
56.5,370.5,1,1,2
286.5,56.5,3.25,1,4.25
639.5,573.5,1,1,2
406.5,988.5,2.5,1,3.5
914.5,585.5,1,1,2
452.5,374.5,1,1,2
237.5,724.5,3.25,1,4.25
457.5,110.5,3.625,1,4.625
474.5,120.5,1,1,2
563.5,90.5,1,1,2
147.5,998.5,1,1,2
263.5,735.5,1,1,2
801.5,139.5,1,1,2
737.5,230.5,1,1,2
555.5,495.5,1,1,2
118.5,474.5,1.1875,1,2.1875
206.5,801.5,1.9375,1,2.9375
443.5,373.5,1,1,2
778.5,461.5,3.4375,1,4.4375
774.5,298.5,1,1,2
301.5,898.5,1,1,2
503.5,310.5,1,1,2
437.5,838.5,1,1,2
711.5,808.5,1,1,2
505.5,342.5,1,1,2
658.5,952.5,1.1875,1,2.1875
777.5,125.5,3.4375,1,4.4375
442.5,342.5,1,1,2
539.5,746.5,1,1,2
92.5,976.5,1.375,1,2.375
946.5,586.5,3.8125,1,4.8125
641.5,309.5,1,1,2
167.5,16.5,1,1,2
173.5,7.5,1,1,2
675.5,369.5,1,1,2
315.5,37.5,1,1,2
880.5,488.5,1,1,2
606.5,320.5,1,1,2
423.5,789.5,1,1,2
949.5,268.5,1,1,2
653.5,610.5,1,1,2
643.5,483.5,1,1,2
539.5,192.5,1,1,2
509.5,724.5,1.9375,1,2.9375
636.5,80.5,3.0625,1,4.0625
649.5,770.5,1,1,2
451.5,839.5,1,1,2
184.5,1021.5,1,1,2
251.5,81.5,2.125,1,3.125
692.5,804.5,1,1,2
86.5,379.5,1,1,2
783.5,534.5,1,1,2
663.5,547.5,3.8125,1,4.8125
350.5,43.5,1,1,2
366.5,861.5,1,1,2
706.5,274.5,1,1,2
966.5,277.5,1,1,2
666.5,988.5,1,1,2
821.5,522.5,1,1,2
702.5,304.5,1,1,2
318.5,57.5,2.125,1,3.125
280.5,981.5,1,1,2
937.5,101.5,3.25,1,4.25
328.5,35.5,1,1,2
492.5,46.5,1,1,2
638.5,552.5,1,1,2
449.5,122.5,2.5,1,3.5
594.5,313.5,1,1,2
446.5,829.5,1,1,2
534.5,288.5,1,1,2
799.5,877.5,1,1,2
358.5,977.5,1,1,2
270.5,583.5,1,1,2
267.5,785.5,2.3125,1,3.3125
290.5,39.5,1,1,2
414.5,48.5,1,1,2
60.5,1022.5,1,1,2
152.5,709.5,2.125,1,3.125
563.5,99.5,1,1,2
728.5,347.5,1,1,2
70.5,361.5,1,1,2
981.5,96.5,1,1,2
474.5,912.5,1,1,2
46.5,21.5,1,1,2
400.5,197.5,2.875,1,3.875
474.5,627.5,1,1,2
1002.5,304.5,1,1,2
304.5,19.5,1,1,2
522.5,0.5,1,1,2
876.5,312.5,1.5625,1,2.5625
295.5,207.5,3.25,1,4.25
959.5,271.5,1,1,2
674.5,841.5,1,1,2
707.5,308.5,1,1,2
442.5,812.5,1,1,2
724.5,544.5,1.75,1,2.75
642.5,704.5,1,1,2
334.5,685.5,1,1,2
122.5,911.5,1,1,2
644.5,263.5,1,1,2
792.5,718.5,1,1,2
618.5,289.5,1,1,2
565.5,716.5,1,1,2
337.5,42.5,1,1,2
933.5,348.5,1,1,2
988.5,612.5,2.875,1,3.875
31.5,359.5,1,1,2
924.5,328.5,1,1,2
431.5,64.5,1,1,2
285.5,736.5,3.0625,1,4.0625
620.5,265.5,1,1,2
377.5,1.5,1,1,2
137.5,822.5,1,1,2
59.5,385.5,2.5,1,3.5
619.5,943.5,1,1,2
546.5,753.5,1,1,2
882.5,347.5,1,1,2
79.5,878.5,1,1,2
397.5,52.5,1,1,2
264.5,992.5,1,1,2
397.5,1001.5,2.3125,1,3.3125
154.5,66.5,1,1,2
628.5,248.5,1,1,2
484.5,387.5,3.4375,1,4.4375
72.5,541.5,1.1875,1,2.1875
985.5,578.5,1,1,2
345.5,151.5,1,1,2
875.5,608.5,1,1,2
461.5,148.5,1,1,2
532.5,88.5,1,1,2
732.5,302.5,1,1,2
221.5,817.5,1,1,2
584.5,938.5,2.125,1,3.125
559.5,809.5,2.875,1,3.875
923.5,867.5,1,1,2
481.5,909.5,1,1,2
542.5,746.5,3.8125,1,4.8125
713.5,249.5,1,1,2
128.5,459.5,1,1,2
868.5,584.5,1,1,2
990.5,925.5,1,1,2
650.5,130.5,2.3125,1,3.3125
724.5,351.5,1,1,2
566.5,139.5,1,1,2
661.5,532.5,1.5625,1,2.5625
